uncertainty_level,freeze_size,lam,method,seed,total_cost_mean,operational_cost_mean,changed_actions_total,runtime_mean_sec,fallback_rate
low,0,1.0,full_reopt,24,18.91529416974709,5.923611111111112,77,8.467243363459905e-05,0.0
low,0,1.0,full_reopt,25,8.582469560199174,7.010416666666667,11,8.760299533605576e-05,0.0
low,0,1.0,full_reopt,26,14.972128191772027,4.225694444444445,45,7.595204644733005e-05,0.0
low,0,1.0,full_reopt,27,15.586752294409441,8.00925925925926,40,8.693709969520569e-05,0.0
low,0,1.0,full_reopt,28,20.943807677845808,8.873299319727892,89,9.339302778244019e-05,0.0
low,0,1.0,full_reopt,29,17.120085992821597,7.333823529411765,51,9.198114275932312e-05,0.0
low,0,1.0,full_reopt,30,24.590087918863603,5.75,75,8.689519017934799e-05,0.0
low,0,1.0,full_reopt,31,16.997504443208676,6.218198529411764,63,8.532479405403137e-05,0.0
low,0,1.0,full_reopt,32,21.714298002505664,4.914141414141414,87,8.411874825304204e-05,0.0
low,0,1.0,full_reopt,33,22.094738033886458,7.833333333333333,49,9.252068897088368e-05,0.0
low,0,1.0,full_reopt,34,15.294540909661114,7.869047619047619,29,8.682321224893843e-05,0.0
low,0,1.0,full_reopt,35,19.1331305694485,5.703090958605665,63,8.038141661220127e-05,0.0
low,0,1.0,full_reopt,36,21.217667539041464,7.5667526659786715,43,8.567112187544505e-05,0.0
low,0,1.0,full_reopt,37,29.598612263971177,6.018455228981545,131,8.136440407146107e-05,0.0
low,0,1.0,full_reopt,38,17.336172358395075,5.776220383986928,56,8.023111149668694e-05,0.0
low,0,1.0,full_reopt,39,18.46687275255223,7.666666666666667,41,9.435229003429413e-05,0.0
low,0,1.0,periodic,20,9.65172970543669,7.609649122807018,11,1.1759085787667169e-05,0.8888888888888888
low,0,1.0,periodic,21,12.523151022883393,7.516995614035087,17,1.4097895473241806e-05,0.875
